Tuple,Index
"(1, False, 2)",1
"(1, False, 3)",2
"(1, False, 4)",3
"(1, False, 5)",4
"(1, False, 6)",5
"(1, False, 7)",6
"(1, False, 8)",7
"(1, False, 9)",8
"(1, False, 10)",9
"(1, False, 11)",10
"(2, False, 2)",11
"(2, False, 3)",12
"(2, False, 4)",13
"(2, False, 5)",14
"(2, False, 6)",15
"(2, False, 7)",16
"(2, False, 8)",17
"(2, False, 9)",18
"(2, False, 10)",19
"(2, False, 11)",20
"(3, False, 2)",21
"(3, False, 3)",22
"(3, False, 4)",23
"(3, False, 5)",24
"(3, False, 6)",25
"(3, False, 7)",26
"(3, False, 8)",27
"(3, False, 9)",28
"(3, False, 10)",29
"(3, False, 11)",30
"(4, False, 2)",31
"(4, False, 3)",32
"(4, False, 4)",33
"(4, False, 5)",34
"(4, False, 6)",35
"(4, False, 7)",36
"(4, False, 8)",37
"(4, False, 9)",38
"(4, False, 10)",39
"(4, False, 11)",40
"(5, False, 2)",41
"(5, False, 3)",42
"(5, False, 4)",43
"(5, False, 5)",44
"(5, False, 6)",45
"(5, False, 7)",46
"(5, False, 8)",47
"(5, False, 9)",48
"(5, False, 10)",49
"(5, False, 11)",50
"(6, False, 2)",51
"(6, False, 3)",52
"(6, False, 4)",53
"(6, False, 5)",54
"(6, False, 6)",55
"(6, False, 7)",56
"(6, False, 8)",57
"(6, False, 9)",58
"(6, False, 10)",59
"(6, False, 11)",60
"(7, False, 2)",61
"(7, False, 3)",62
"(7, False, 4)",63
"(7, False, 5)",64
"(7, False, 6)",65
"(7, False, 7)",66
"(7, False, 8)",67
"(7, False, 9)",68
"(7, False, 10)",69
"(7, False, 11)",70
"(8, False, 2)",71
"(8, False, 3)",72
"(8, False, 4)",73
"(8, False, 5)",74
"(8, False, 6)",75
"(8, False, 7)",76
"(8, False, 8)",77
"(8, False, 9)",78
"(8, False, 10)",79
"(8, False, 11)",80
"(9, False, 2)",81
"(9, False, 3)",82
"(9, False, 4)",83
"(9, False, 5)",84
"(9, False, 6)",85
"(9, False, 7)",86
"(9, False, 8)",87
"(9, False, 9)",88
"(9, False, 10)",89
"(9, False, 11)",90
"(10, False, 2)",91
"(10, False, 3)",92
"(10, False, 4)",93
"(10, False, 5)",94
"(10, False, 6)",95
"(10, False, 7)",96
"(10, False, 8)",97
"(10, False, 9)",98
"(10, False, 10)",99
"(10, False, 11)",100
"(11, True, 2)",101
"(11, False, 2)",102
"(11, True, 3)",103
"(11, False, 3)",104
"(11, True, 4)",105
"(11, False, 4)",106
"(11, True, 5)",107
"(11, False, 5)",108
"(11, True, 6)",109
"(11, False, 6)",110
"(11, True, 7)",111
"(11, False, 7)",112
"(11, True, 8)",113
"(11, False, 8)",114
"(11, True, 9)",115
"(11, False, 9)",116
"(11, True, 10)",117
"(11, False, 10)",118
"(11, True, 11)",119
"(11, False, 11)",120
"(12, True, 2)",121
"(12, False, 2)",122
"(12, True, 3)",123
"(12, False, 3)",124
"(12, True, 4)",125
"(12, False, 4)",126
"(12, True, 5)",127
"(12, False, 5)",128
"(12, True, 6)",129
"(12, False, 6)",130
"(12, True, 7)",131
"(12, False, 7)",132
"(12, True, 8)",133
"(12, False, 8)",134
"(12, True, 9)",135
"(12, False, 9)",136
"(12, True, 10)",137
"(12, False, 10)",138
"(12, True, 11)",139
"(12, False, 11)",140
"(13, True, 2)",141
"(13, False, 2)",142
"(13, True, 3)",143
"(13, False, 3)",144
"(13, True, 4)",145
"(13, False, 4)",146
"(13, True, 5)",147
"(13, False, 5)",148
"(13, True, 6)",149
"(13, False, 6)",150
"(13, True, 7)",151
"(13, False, 7)",152
"(13, True, 8)",153
"(13, False, 8)",154
"(13, True, 9)",155
"(13, False, 9)",156
"(13, True, 10)",157
"(13, False, 10)",158
"(13, True, 11)",159
"(13, False, 11)",160
"(14, True, 2)",161
"(14, False, 2)",162
"(14, True, 3)",163
"(14, False, 3)",164
"(14, True, 4)",165
"(14, False, 4)",166
"(14, True, 5)",167
"(14, False, 5)",168
"(14, True, 6)",169
"(14, False, 6)",170
"(14, True, 7)",171
"(14, False, 7)",172
"(14, True, 8)",173
"(14, False, 8)",174
"(14, True, 9)",175
"(14, False, 9)",176
"(14, True, 10)",177
"(14, False, 10)",178
"(14, True, 11)",179
"(14, False, 11)",180
"(15, True, 2)",181
"(15, False, 2)",182
"(15, True, 3)",183
"(15, False, 3)",184
"(15, True, 4)",185
"(15, False, 4)",186
"(15, True, 5)",187
"(15, False, 5)",188
"(15, True, 6)",189
"(15, False, 6)",190
"(15, True, 7)",191
"(15, False, 7)",192
"(15, True, 8)",193
"(15, False, 8)",194
"(15, True, 9)",195
"(15, False, 9)",196
"(15, True, 10)",197
"(15, False, 10)",198
"(15, True, 11)",199
"(15, False, 11)",200
"(16, True, 2)",201
"(16, False, 2)",202
"(16, True, 3)",203
"(16, False, 3)",204
"(16, True, 4)",205
"(16, False, 4)",206
"(16, True, 5)",207
"(16, False, 5)",208
"(16, True, 6)",209
"(16, False, 6)",210
"(16, True, 7)",211
"(16, False, 7)",212
"(16, True, 8)",213
"(16, False, 8)",214
"(16, True, 9)",215
"(16, False, 9)",216
"(16, True, 10)",217
"(16, False, 10)",218
"(16, True, 11)",219
"(16, False, 11)",220
"(17, True, 2)",221
"(17, False, 2)",222
"(17, True, 3)",223
"(17, False, 3)",224
"(17, True, 4)",225
"(17, False, 4)",226
"(17, True, 5)",227
"(17, False, 5)",228
"(17, True, 6)",229
"(17, False, 6)",230
"(17, True, 7)",231
"(17, False, 7)",232
"(17, True, 8)",233
"(17, False, 8)",234
"(17, True, 9)",235
"(17, False, 9)",236
"(17, True, 10)",237
"(17, False, 10)",238
"(17, True, 11)",239
"(17, False, 11)",240
"(18, True, 2)",241
"(18, False, 2)",242
"(18, True, 3)",243
"(18, False, 3)",244
"(18, True, 4)",245
"(18, False, 4)",246
"(18, True, 5)",247
"(18, False, 5)",248
"(18, True, 6)",249
"(18, False, 6)",250
"(18, True, 7)",251
"(18, False, 7)",252
"(18, True, 8)",253
"(18, False, 8)",254
"(18, True, 9)",255
"(18, False, 9)",256
"(18, True, 10)",257
"(18, False, 10)",258
"(18, True, 11)",259
"(18, False, 11)",260
"(19, True, 2)",261
"(19, False, 2)",262
"(19, True, 3)",263
"(19, False, 3)",264
"(19, True, 4)",265
"(19, False, 4)",266
"(19, True, 5)",267
"(19, False, 5)",268
"(19, True, 6)",269
"(19, False, 6)",270
"(19, True, 7)",271
"(19, False, 7)",272
"(19, True, 8)",273
"(19, False, 8)",274
"(19, True, 9)",275
"(19, False, 9)",276
"(19, True, 10)",277
"(19, False, 10)",278
"(19, True, 11)",279
"(19, False, 11)",280
"(20, True, 2)",281
"(20, False, 2)",282
"(20, True, 3)",283
"(20, False, 3)",284
"(20, True, 4)",285
"(20, False, 4)",286
"(20, True, 5)",287
"(20, False, 5)",288
"(20, True, 6)",289
"(20, False, 6)",290
"(20, True, 7)",291
"(20, False, 7)",292
"(20, True, 8)",293
"(20, False, 8)",294
"(20, True, 9)",295
"(20, False, 9)",296
"(20, True, 10)",297
"(20, False, 10)",298
"(20, True, 11)",299
"(20, False, 11)",300
"(21, True, 2)",301
"(21, False, 2)",302
"(21, True, 3)",303
"(21, False, 3)",304
"(21, True, 4)",305
"(21, False, 4)",306
"(21, True, 5)",307
"(21, False, 5)",308
"(21, True, 6)",309
"(21, False, 6)",310
"(21, True, 7)",311
"(21, False, 7)",312
"(21, True, 8)",313
"(21, False, 8)",314
"(21, True, 9)",315
"(21, False, 9)",316
"(21, True, 10)",317
"(21, False, 10)",318
"(21, True, 11)",319
"(21, False, 11)",320
